<<<<<<< HEAD
﻿자치구,소계,소계,소계,매개시설,매개시설,매개시설,내부시설,내부시설,내부시설,위생시설,위생시설,위생시설,안내시설,안내시설,안내시설,기타시설,기타시설,기타시설
자치구,대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%)
소계,89393,88677,99.20,27444,27319,99.54,44325,44212,99.75,15479,15105,97.58,1584,1549,97.79,493,455,92.29
종로구,2422,2413,99.63,714,714,100.00,1008,1004,99.60,593,588,99.16,75,75,100.00,32,32,100.00
중구,3318,3265,98.40,807,784,97.15,1525,1519,99.61,818,802,98.04,75,72,96.00,88,85,96.59
용산구,2827,2817,99.65,951,947,99.58,1332,1332,100.00,488,486,99.59,32,32,100.00,16,16,100.00
성동구,2148,2057,95.76,608,595,97.86,954,941,98.64,532,478,89.85,53,43,81.13,0,0,-
광진구,3611,3603,99.78,1165,1165,100.00,1970,1970,100.00,419,411,98.09,31,31,100.00,14,14,100.00
동대문구,2542,2533,99.65,696,689,98.99,1266,1266,100.00,560,558,99.64,20,20,100.00,0,0,-
중랑구,3954,3911,98.91,1382,1368,98.99,2012,2007,99.75,514,490,95.33,46,46,100.00,0,0,-
성북구,2727,2708,99.30,817,815,99.76,1458,1456,99.86,393,381,96.95,40,37,92.50,19,19,100.00
강북구,1742,1715,98.45,618,618,100.00,892,878,98.43,200,188,94.00,8,8,100.00,24,23,96.00
도봉구,2502,2477,99.00,771,757,98.18,1219,1213,99.51,329,324,98.48,168,168,100.00,13,13,100.00
노원구,1537,1526,99.28,478,478,100.00,722,714,98.89,285,283,99.30,51,51,100.00,0,0,-
은평구,3114,3094,99.36,1236,1234,99.84,1612,1610,99.88,204,191,93.63,54,54,100.00,8,5,62.50
서대문구,2070,2068,99.90,562,562,100.00,1024,1024,100.00,386,384,99.48,74,74,100.00,24,24,100.00
마포구,3676,3635,98.88,1225,1208,98.61,2178,2175,99.86,228,225,98.68,4,2,50.00,39,25,64.10
양천구,2309,2301,99.65,751,747,99.47,1180,1180,100.00,299,298,99.67,79,76,96.20,0,0,-
강서구,5177,5172,99.90,1659,1659,100.00,2762,2760,99.93,672,670,99.70,83,83,100.00,0,0,-
구로구,3142,3094,98.47,1023,1019,99.61,1663,1661,99.88,423,381,90.07,33,33,100.00,0,0,-
금천구,3206,3203,99.91,1127,1127,100.00,1610,1610,100.00,387,385,99.48,10,10,100.00,72,71,99.00
영등포구,4077,4061,99.61,1130,1125,99.56,2094,2092,99.90,768,759,98.83,85,85,100.00,0,0,-
동작구,1510,1508,99.87,530,530,100.00,745,743,99.73,209,209,100.00,23,23,100.00,3,3,100.00
관악구,2378,2336,98.23,672,669,99.55,1176,1165,99.06,457,431,94.31,73,71,97.26,0,0,-
서초구,7763,7716,99.39,2232,2231,99.96,3814,3810,99.90,1614,1575,97.58,71,68,95.77,27,27,100.00
강남구,11798,11678,98.98,3285,3273,99.63,5210,5190,99.62,3040,2973,97.80,189,180,95.24,62,62,100.00
송파구,4633,4606,99.42,1484,1484,100.00,2216,2209,99.68,819,801,97.80,82,82,100.00,30,30,100.00
강동구,5210,5180,99.42,1521,1521,100.00,2683,2683,100.00,842,834,99.05,125,125,100.00,22,6,27.27
=======
﻿"자치구별(1)",자치구별(2),소계,소계,소계,매개시설,매개시설,매개시설,내부시설,내부시설,내부시설,위생시설,위생시설,위생시설,안내시설,안내시설,안내시설,기타시설,기타시설,기타시설
"자치구별(1)",자치구별(2),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%),대상 (개),설치 (개),설치율 (%)
"합계",소계,89393,88677,99.20,27444,27319,99.54,44325,44212,99.75,15479,15105,97.58,1584,1549,97.79,493,455,92.29
"합계",종로구,2422,2413,99.63,714,714,100.00,1008,1004,99.60,593,588,99.16,75,75,100.00,32,32,100.00
"합계",중구,3318,3265,98.40,807,784,97.15,1525,1519,99.61,818,802,98.04,75,72,96.00,88,85,96.59
"합계",용산구,2827,2817,99.65,951,947,99.58,1332,1332,100.00,488,486,99.59,32,32,100.00,16,16,100.00
"합계",성동구,2148,2057,95.76,608,595,97.86,954,941,98.64,532,478,89.85,53,43,81.13,0,0,-
"합계",광진구,3611,3603,99.78,1165,1165,100.00,1970,1970,100.00,419,411,98.09,31,31,100.00,14,14,100.00
"합계",동대문구,2542,2533,99.65,696,689,98.99,1266,1266,100.00,560,558,99.64,20,20,100.00,0,0,-
"합계",중랑구,3954,3911,98.91,1382,1368,98.99,2012,2007,99.75,514,490,95.33,46,46,100.00,0,0,-
"합계",성북구,2727,2708,99.30,817,815,99.76,1458,1456,99.86,393,381,96.95,40,37,92.50,19,19,100.00
"합계",강북구,1742,1715,98.45,618,618,100.00,892,878,98.43,200,188,94.00,8,8,100.00,24,23,96.00
"합계",도봉구,2502,2477,99.00,771,757,98.18,1219,1213,99.51,329,324,98.48,168,168,100.00,13,13,100.00
"합계",노원구,1537,1526,99.28,478,478,100.00,722,714,98.89,285,283,99.30,51,51,100.00,0,0,-
"합계",은평구,3114,3094,99.36,1236,1234,99.84,1612,1610,99.88,204,191,93.63,54,54,100.00,8,5,62.50
"합계",서대문구,2070,2068,99.90,562,562,100.00,1024,1024,100.00,386,384,99.48,74,74,100.00,24,24,100.00
"합계",마포구,3676,3635,98.88,1225,1208,98.61,2178,2175,99.86,228,225,98.68,4,2,50.00,39,25,64.10
"합계",양천구,2309,2301,99.65,751,747,99.47,1180,1180,100.00,299,298,99.67,79,76,96.20,0,0,-
"합계",강서구,5177,5172,99.90,1659,1659,100.00,2762,2760,99.93,672,670,99.70,83,83,100.00,0,0,-
"합계",구로구,3142,3094,98.47,1023,1019,99.61,1663,1661,99.88,423,381,90.07,33,33,100.00,0,0,-
"합계",금천구,3206,3203,99.91,1127,1127,100.00,1610,1610,100.00,387,385,99.48,10,10,100.00,72,71,99.00
"합계",영등포구,4077,4061,99.61,1130,1125,99.56,2094,2092,99.90,768,759,98.83,85,85,100.00,0,0,-
"합계",동작구,1510,1508,99.87,530,530,100.00,745,743,99.73,209,209,100.00,23,23,100.00,3,3,100.00
"합계",관악구,2378,2336,98.23,672,669,99.55,1176,1165,99.06,457,431,94.31,73,71,97.26,0,0,-
"합계",서초구,7763,7716,99.39,2232,2231,99.96,3814,3810,99.90,1614,1575,97.58,71,68,95.77,27,27,100.00
"합계",강남구,11798,11678,98.98,3285,3273,99.63,5210,5190,99.62,3040,2973,97.80,189,180,95.24,62,62,100.00
"합계",송파구,4633,4606,99.42,1484,1484,100.00,2216,2209,99.68,819,801,97.80,82,82,100.00,30,30,100.00
"합계",강동구,5210,5180,99.42,1521,1521,100.00,2683,2683,100.00,842,834,99.05,125,125,100.00,22,6,27.27
>>>>>>> 8c17e417279568d5b46170534d1a7d3b70745444
